Symbol,symbol_url
3MINDIA,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
AAVAS,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17
ABCAPITAL,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9
ABBOTINDIA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
ACC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
ADANIENT,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
ADANIPORTS,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
ADANIPOWER,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
ADANITRANS,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22
ABFRL,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
ADVENZYMES,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
AEGISCHEM,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
ARVINDFASN,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionslimited/ARVIN54248
ADANIGAS,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adanigaslimited/ADG01
AIAENG,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
AJANTPHARM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
AKZOINDIA,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
APLLTD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
ALKEM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
ALKYLAMINE,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkylamineschemicals/AAC
ALLCARGO,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02
AMARAJABAT,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB
AMBER,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01
AMBUJACEM,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
APLAPOLLO,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
APOLLOHOSP,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
APOLLOTYRE,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
ASHOKLEY,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL
ASHOKA,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB
ASIANPAINT,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
ASTERDM,https://www.moneycontrol.com/india/stockpricequote/diversified/asterdmhealthcareltd/ADH
ASTRAL,https://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02
ASTRAZEN,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
ATUL,https://www.moneycontrol.com/india/stockpricequote/chemicals/atul/A06
AUBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/ausmallfinancebank/ASF02
AUROPHARMA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
AVANTIFEED,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
DMART,https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
AXISBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
BAJAJ-AUTO,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
BAJAJCON,https://www.moneycontrol.com/india/stockpricequote/personalcare/bajajconsumercare/BC02
BAJAJELEC,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE
BAJFINANCE,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF
BAJAJFINSV,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
BAJAJHLDNG,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI
BALKRISIND,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
BALMLAWRIE,https://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC
BALRAMCHIN,https://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM
BANDHANBNK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09
BANKBARODA,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB
BANKINDIA,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI
MAHABANK,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05
BASF,https://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS
BATAINDIA,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01
BAYERCROP,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12
BEML,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03
BERGEPAINT,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
BDL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bharatdynamicsltd/BDL01
BEL,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03
BHARATFORG,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03
BHARTIARTL,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08
INFRATEL,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/bhartiinfratel/BI14
BHEL,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE
BIOCON,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03
BIRLACORPN,https://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07
BLISSGVS,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV
BLUEDART,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
BLUESTARCO,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS
BBTC,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT
BOMDYEING,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM
BOSCHLTD,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
BPCL,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
BRIGADE,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/brigadeenterprises/BE08
BRITANNIA,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
CADILAHC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
CANFINHOME,https://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH
CANBK,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06
CAPLIPOINT,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL
CGCL,https://www.moneycontrol.com/india/stockpricequote/financegeneral/capriglobalcapital/MMF05
CARBORUNIV,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU
CARERATING,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/careratings/CAR
CASTROLIND,https://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
CCL,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10
CEATLTD,https://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07
CENTRALBK,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01
CENTRUM,https://www.moneycontrol.com/india/stockpricequote/financegeneral/centrumcapital/CF09
CENTURYPLY,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9
CERA,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18
CESC,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES
CROMPTON,https://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01
CHALET,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03
CHAMBLFERT,https://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC
CHENNPETRO,https://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02
CHOLAFIN,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB
CIPLA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
CUB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB
COALINDIA,https://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11
COCHINSHIP,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cochinshipyard/CS
COLPAL,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
CONCOR,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI
COROMANDEL,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
